Lily 128 8 0 3547.282934188843
Lily 256 16 1 1258.1636905670166
Lily 64 32 2 2391.265392303467
Lily 128 16 3 898.4532356262207
Lily 512 16 4 1004.1778087615967
Lily 256 8 5 1056.0991764068604
Lily 64 8 6 828.751802444458
Lily 128 32 7 703.4180164337158
Lily 512 8 8 1114.4440174102783
Lily 512 32 9 1090.430498123169
Lily 64 16 10 1087.9998207092285
Lily 256 32 11 781.5234661102295
Lily 256 32 11 330.90949058532715
Lily 256 32 0 3104.2473316192627
Lily 128 32 1 904.3521881103516
Lily 64 8 2 1125.5407333374023
Lily 64 32 3 623.0587959289551
Lily 512 32 4 1112.154483795166
Lily 512 16 5 859.1980934143066
Lily 128 16 6 819.0281391143799
Lily 64 16 7 719.3694114685059
Lily 512 8 8 1001.8928050994873
Lily 128 8 9 874.9864101409912
Lily 256 16 10 525.0601768493652
Lily 256 8 11 905.0912857055664
Lily 256 8 11 303.0579090118408
Lily 256 8 0 5360.287666320801
Lily 512 16 1 1875.1182556152344
Lily 64 8 2 1421.9813346862793
Lily 128 32 3 815.2170181274414
Lily 512 8 4 1406.3456058502197
Lily 256 16 5 1046.954870223999
Lily 128 8 6 1109.4505786895752
Lily 256 32 7 828.181266784668
Lily 512 32 8 859.433650970459
Lily 128 16 9 854.9001216888428
Lily 64 32 10 629.3680667877197
Lily 64 16 11 750.0514984130859
Lily 64 16 11 468.7817096710205
Lily 64 16 11 140.63501358032227
Lily 256 8 0 3867.382764816284
Lily 512 16 1 4140.915870666504
Lily 512 8 2 3875.2639293670654
Lily 256 16 3 3624.84073638916
Lily 512 32 4 3533.0464839935303
Lily 64 32 5 3437.734603881836
Lily 64 16 6 4281.541347503662
Lily 256 16 0 3777.866840362549
Lily 512 16 1 4159.5869064331055
Lily 256 32 2 2797.1901893615723
Lily 128 32 3 2187.891721725464
Lily 128 16 4 2437.6659393310547
Lily 512 8 5 4953.635454177856
Lily 128 8 6 3594.7606563568115
Lily 256 8 7 4312.793731689453
Lily 64 32 8 1948.6689567565918
Lily 64 16 9 2315.1674270629883
Lily 64 8 10 2500.1611709594727
Lily 512 32 11 3094.019889831543
Lily 128 8 0 3917.391538619995
Lily 512 16 1 2986.766815185547
Lily 128 16 2 3091.0117626190186
Lily 64 16 3 2374.59397315979
Lily 64 8 4 2337.2092247009277
Lily 256 8 5 4354.44450378418
Lily 256 32 6 2267.273426055908
